openalex_id,approved,name_ko,name_en,university,department,primary_field,source_url,auto_decision,auto_confidence,auto_reason,triage_tier,shared_paper_count,connected_seed_professor_ids,web_title,current_affiliation
A5043195268,,,Jinyoung Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5012013227,,,Hyeon Jin Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5028951283,,,Suhyung Cho,Korea Advanced Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Korea Advanced Institute of Science and Technology
A5038024416,,,Yungyu Lee,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5083241424,,,Mincheol Choi,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5005684758,,,Dongyeop Baek,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Pohang University of Science and Technology
A5066311715,,,Sung Won Cho,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5071392810,,,Youngsoon Um,Korea Institute of Science and Technology; Korea University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Korea Institute of Science and Technology; Korea University of Science and Technology
A5109103981,,,Su Jin Song,Hanyang University,,,,,0.5,manual review needed,C_manual,2,P0002,,Hanyang University
A5103473970,,,Cha Yong Choi,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5100777271,,,Seongjun Park,Seoul National University; Korea Advanced Institute of Science and Technology; New Generation University College; Seoul National University Hospital; Neuroscience Institute; Institute of Professional Innovations; National Medical Center; CHA University; Institute of Biomedical Science; Research Institute for Genetic and Human Therapy,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University; Korea Advanced Institute of Science and Technology; New Generation University College; Seoul National University Hospital; Neuroscience Institute; Institute of Professional Innovations; National Medical Center; CHA University; Institute of Biomedical Science; Research Institute for Genetic and Human Therapy
A5066822186,,,Hyeonwoo Mun,Seoul National University; New Generation University College; National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University; New Generation University College; National University
A5101944598,,,Jeong-Won Choi,Harvard University; Ulsan National Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0003,,Harvard University; Ulsan National Institute of Science and Technology
A5060685727,,,Choong-Hyun Koh,Seoul National University; New Generation University College; Immune Regulation (United Kingdom),,,,,0.5,manual review needed,C_manual,2,P0003,,Seoul National University; New Generation University College; Immune Regulation (United Kingdom)
A5101692046,,,Young‐Jun Park,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0003,,Seoul National University
A5032796168,,,Youngro Byun,Seoul National University; New Generation University College; National University College,,,,,0.5,manual review needed,C_manual,2,P0003,,Seoul National University; New Generation University College; National University College
A5090917103,,,Sung‐Gyoo Park,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0003,,Seoul National University
A5109531883,,,Byung‐Seok Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0003,,Seoul National University
A5055907176,,,SoonHo Kweon,Kangwon National University; Cornell University; Weill Cornell Medicine,,,,,0.5,manual review needed,C_manual,4,P0001,,Kangwon National University; Cornell University; Weill Cornell Medicine
A5068036652,,,Myung Hwan Park,Chungbuk National University,,,,,0.5,manual review needed,C_manual,4,P0003,,Chungbuk National University
A5001530320,,,Eun-Ah Bae,Amyotrophic Lateral Sclerosis Therapy Development Institute,,,,,0.5,manual review needed,C_manual,4,P0003,,Amyotrophic Lateral Sclerosis Therapy Development Institute
A5010238674,,,Yongbum Cho,LG (United States),,,,,0.5,manual review needed,C_manual,6,P0001,,LG (United States)
A5086979761,,,Joshua S. Katz,Wilmington University,,,,,0.5,manual review needed,C_manual,3,P0001,,Wilmington University
A5006391548,,,Donghyun Jang,Yonsei University,,,,,0.5,manual review needed,C_manual,3,P0001,,Yonsei University
A5062046221,,,Seong-Eun Kim,Georgia State University; Institute of Infection and Immunity,,,,,0.5,manual review needed,C_manual,3,P0001,,Georgia State University; Institute of Infection and Immunity
A5086508893,,,Seok‐min Kim,Chung-Ang University,,,,,0.5,manual review needed,C_manual,3,P0001,,Chung-Ang University
A5059418899,,,Sunghwa Woo,University of California San Diego; La Jolla Bioengineering Institute; Joint BioEnergy Institute,,,,,0.5,manual review needed,C_manual,3,P0002,,University of California San Diego; La Jolla Bioengineering Institute; Joint BioEnergy Institute
A5022722737,,,Oju Jeon,University of Illinois Chicago,,,,,0.5,manual review needed,C_manual,3,P0002,,University of Illinois Chicago
A5102143090,,,Jin Yang,Sir Run Run Shaw Hospital,,,,,0.5,manual review needed,C_manual,3,P0002,,Sir Run Run Shaw Hospital
A5003401558,,,Insu Jeon,Gwangju Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0003,,Gwangju Institute of Science and Technology
A5008690022,,,Hyun‐Ja Ko,AtoGen (South Korea),,,,,0.5,manual review needed,C_manual,5,P0003,,AtoGen (South Korea)
A5058106720,,,Dong Sung Kim,Pohang University of Science and Technology; Cleveland Clinic; Cleveland Clinic Lerner College of Medicine; Case Western Reserve University,,,,,0.5,manual review needed,C_manual,4,P0001,,Pohang University of Science and Technology; Cleveland Clinic; Cleveland Clinic Lerner College of Medicine; Case Western Reserve University
A5100735244,,,Sang Joon Lee,Pohang University of Science and Technology; Institute of Forest Science,,,,,0.5,manual review needed,C_manual,4,P0001,,Pohang University of Science and Technology; Institute of Forest Science
A5006969249,,,Jeong‐Yun Sun,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0001,,Seoul National University
A5102000910,,,Sung Won Cho,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0002,,Seoul National University
A5052371960,,,Hee Sung Hwang,Hoseo University; Sacred Heart Hospital; Hallym University Kangnam Sacred Heart Hospital; Hallym University Sacred Heart Hospital,,,,,0.5,manual review needed,C_manual,2,P0001; P0002,,Hoseo University; Sacred Heart Hospital; Hallym University Kangnam Sacred Heart Hospital; Hallym University Sacred Heart Hospital
A5044550389,,,Mikyung Kang,Korea University; Korea University Medical Center; Gachon University Gil Medical Center; ID Genomics (United States); Korea University,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea University; Korea University Medical Center; Gachon University Gil Medical Center; ID Genomics (United States); Korea University
A5109599649,,,Jihye Hong,Kyungpook National University; Massachusetts General Hospital; Center for Systems Biology,,,,,0.5,manual review needed,C_manual,2,P0001,,Kyungpook National University; Massachusetts General Hospital; Center for Systems Biology
A5088126909,,,Ja‐Hyun Koo,"Ragon Institute of MGH, MIT and Harvard",,,,,0.5,manual review needed,C_manual,2,P0001,,"Ragon Institute of MGH, MIT and Harvard"
A5103754673,,,Sangho Lim,Royal Netherlands Academy of Arts and Sciences; University Medical Center Utrecht; Oncode Institute; Hubrecht Institute for Developmental Biology and Stem Cell Research,,,,,0.5,manual review needed,C_manual,2,P0001,,Royal Netherlands Academy of Arts and Sciences; University Medical Center Utrecht; Oncode Institute; Hubrecht Institute for Developmental Biology and Stem Cell Research
A5005182942,,,Won‐Ju Kim,Dana-Farber Cancer Institute; Dana-Farber/Harvard Cancer Center,,,,,0.5,manual review needed,C_manual,2,P0001,,Dana-Farber Cancer Institute; Dana-Farber/Harvard Cancer Center
A5016011384,,,Hong‐Gyun Lee,Brigham and Women's Hospital; Harvard University; Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Brigham and Women's Hospital; Harvard University; Seoul National University
A5076121426,,,Ji Yun Kim,Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,Sungkyunkwan University
A5101686279,,,Seong Eun Kim,"Chonnam National University; Chungnam National University; University of California, Irvine; Mitchell Institute; Chonnam National University Hospital; Texas A&M University",,,,,0.5,manual review needed,C_manual,2,P0001,,"Chonnam National University; Chungnam National University; University of California, Irvine; Mitchell Institute; Chonnam National University Hospital; Texas A&M University"
A5075962780,,,Wooram Park,Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,Sungkyunkwan University
A5004493776,,,Minhyeok Chang,Johns Hopkins University; Johns Hopkins Medicine,,,,,0.5,manual review needed,C_manual,2,P0001,,Johns Hopkins University; Johns Hopkins Medicine
A5100765314,,,Junseok Lee,"California NanoSystems Institute; University of California, Los Angeles; Yonsei University; Pusan National University",,,,,0.5,manual review needed,C_manual,2,P0001,,"California NanoSystems Institute; University of California, Los Angeles; Yonsei University; Pusan National University"
A5005282271,no,,Zung Yoon Yang,Cell Biotech (South Korea),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,2,P0001,,Cell Biotech (South Korea)
A5103220316,,,Seung Kwon Koh,Morgan Stanley Children's Hospital,,,,,0.5,manual review needed,C_manual,2,P0001,,Morgan Stanley Children's Hospital
A5100669495,,,Sun‐Young Lee,IntraHealth International; Konkuk University; Konkuk University Medical Center; Keimyung College University; Ajou University Hospital; Precision for Medicine (United States); Keimyung University; Ajou University; Daegu University,,,,,0.5,manual review needed,C_manual,2,P0001,,IntraHealth International; Konkuk University; Konkuk University Medical Center; Keimyung College University; Ajou University Hospital; Precision for Medicine (United States); Keimyung University; Ajou University; Daegu University
A5008335740,,,In‐Sun Chu,National Taiwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,National Taiwan University
A5003253588,,,Dabin Lee,Korea Institute of Ocean Science and Technology; Pusan National University; Pukyong National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Institute of Ocean Science and Technology; Pusan National University; Pukyong National University
A5101793549,,,Juhyun Park,Electronics and Telecommunications Research Institute; Hankuk University of Foreign Studies; Hongik University,,,,,0.5,manual review needed,C_manual,2,P0001,,Electronics and Telecommunications Research Institute; Hankuk University of Foreign Studies; Hongik University
A5033258964,,,Seung‐Hyun Jun,LG (United States); Sejong University; China Household Electrical Appliances Research Institute,,,,,0.5,manual review needed,C_manual,2,P0001,,LG (United States); Sejong University; China Household Electrical Appliances Research Institute
A5058510701,,,Chung Hee Sonn,Samsung Medical Center,,,,,0.5,manual review needed,C_manual,2,P0001,,Samsung Medical Center
A5057879843,,,Sungyeon Jang,The University of Texas at Austin,,,,,0.5,manual review needed,C_manual,2,P0002,,The University of Texas at Austin
A5103282246,,,Chae Won Kang,Lawrence Berkeley National Laboratory; Joint BioEnergy Institute,,,,,0.5,manual review needed,C_manual,2,P0002,,Lawrence Berkeley National Laboratory; Joint BioEnergy Institute
A5100678933,,,Jong Moon Park,Chungnam National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Chungnam National University
A5014776088,,,Jihye Choi,The University of Texas MD Anderson Cancer Center; The University of Texas Health Science Center at Houston,,,,,0.5,manual review needed,C_manual,2,P0002,,The University of Texas MD Anderson Cancer Center; The University of Texas Health Science Center at Houston
A5005780244,,,Seong‐Ho Baek,Dankook University,,,,,0.5,manual review needed,C_manual,2,P0002,,Dankook University
A5068365324,no,,Ki-Young Choi,Cellid (South Korea),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,2,P0003,,Cellid (South Korea)
A5027587527,no,,Taegwon Oh,Cellid (South Korea); NovaCell Technology (South Korea),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,2,P0003,,Cellid (South Korea); NovaCell Technology (South Korea)
A5065145798,,,Jeong-Mi Lee,Brigham and Women's Hospital,,,,,0.5,manual review needed,C_manual,2,P0003,,Brigham and Women's Hospital
A5100416703,,,Jong Min Kim,University of Cambridge,,,,,0.5,manual review needed,C_manual,6,P0002,,University of Cambridge
A5012791367,,,Inpyo Choi,Oncotherapeutics (United States),,,,,0.5,manual review needed,C_manual,4,P0001,,Oncotherapeutics (United States)
A5013124722,,,Bo‐Gie Yang,Human Longevity (United States),,,,,0.5,manual review needed,C_manual,4,P0001,,Human Longevity (United States)
A5003825516,,,Ki Hean Kim,Pohang University of Science and Technology; Chung-Ang University Hospital; Chung-Ang University,,,,,0.5,manual review needed,C_manual,3,P0001,,Pohang University of Science and Technology; Chung-Ang University Hospital; Chung-Ang University
A5062030443,,,Min‐Gyu Lee,Seoul National University; Samsung (South Korea),,,,,0.5,manual review needed,C_manual,3,P0001,,Seoul National University; Samsung (South Korea)
A5013040626,,,Jaewoo Yim,Seoul National University,,,,,0.5,manual review needed,C_manual,3,P0002,,Seoul National University
A5063117541,,,Seongmin An,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University
A5016058053,,,Eunseop Yeom,Pusan National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Pusan National University
A5091718941,,,Chulhong Kim,Pohang University of Science and Technology; Pohang Iron and Steel (South Korea); Korea Institute of Robot and Convergence; Pohang TechnoPark (South Korea),,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology; Pohang Iron and Steel (South Korea); Korea Institute of Robot and Convergence; Pohang TechnoPark (South Korea)
A5102101736,,,Hyoseok Nam,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5067474457,,,Sang June Yoon,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5033806635,,,Taejun Wang,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5039227242,,,J.‐K. KIM,Seoul National University; New Generation University College,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; New Generation University College
A5100749353,,,Sung Ho Park,Chonnam National University; City University of New York; The Medical Center of Aurora; Children's Hospital Colorado; Korean Society of Design Science; Daegu-Gyeongbuk Medical Innovation Foundation; Interaction Design (United Kingdom); University of Colorado Anschutz; New York University; University of Colorado Denver,,,,,0.5,manual review needed,C_manual,2,P0001,,Chonnam National University; City University of New York; The Medical Center of Aurora; Children's Hospital Colorado; Korean Society of Design Science; Daegu-Gyeongbuk Medical Innovation Foundation; Interaction Design (United Kingdom); University of Colorado Anschutz; New York University; University of Colorado Denver
A5051365211,,,Dong‐Myung Kim,Chungnam National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Chungnam National University
A5043426085,,,Junyeob Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University
A5100650673,,,Hojun Lee,Seoul National University; Yonsei University,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University; Yonsei University
A5090932874,,,Hah Young Yoo,Sangmyung University,,,,,0.5,manual review needed,C_manual,2,P0002,,Sangmyung University
A5101893715,,,Joon Young Park,Korea Research Institute of Chemical Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Korea Research Institute of Chemical Technology
A5109551833,,,Chang Uk Choi,Wonkwang University,,,,,0.5,manual review needed,C_manual,2,P0002,,Wonkwang University
A5025929674,,,Ina Bang,Korea Advanced Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Korea Advanced Institute of Science and Technology
A5101828689,,,Hyuck Han,Dongduk Women's University,,,,,0.5,manual review needed,C_manual,2,P0003,,Dongduk Women's University
A5085861879,,,Minsoo Ryu,Hanyang University,,,,,0.5,manual review needed,C_manual,2,P0003,,Hanyang University
A5059925471,,,Sooyong Kang,Hanyang University,,,,,0.5,manual review needed,C_manual,2,P0003,,Hanyang University
A5031159007,no,,Sooseok Im,Samsung (South Korea),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,2,P0001,,Samsung (South Korea)
A5009850690,,,Kyoung Duck Seo,Wonkwang University,,,,,0.5,manual review needed,C_manual,3,P0001,,Wonkwang University
A5091560212,no,,Bosu Jeong,Synlab Czech (Czechia),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,3,P0001,,Synlab Czech (Czechia)
A5060435018,no,,Byunghak Lee,Synlab Czech (Czechia),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,3,P0001,,Synlab Czech (Czechia)
A5027787988,,,Min Seong Jang,Korea Institute of Toxicology,,,,,0.5,manual review needed,C_manual,3,P0001,,Korea Institute of Toxicology
A5052658114,,,Woorak Choi,Korea National University of Transportation,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea National University of Transportation
A5052327459,,,Jaejung Song,Seoul National University; National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; National University
A5102828545,,,Seungjun Shin,Sookmyung Women's University,,,,,0.5,manual review needed,C_manual,2,P0001,,Sookmyung Women's University
A5065315891,,,Ilyas Kabimoldayev,Nazarbayev University,,,,,0.5,manual review needed,C_manual,2,P0002,,Nazarbayev University
A5055104158,,,Sun‐Woong Kang,Korea Institute of Toxicology; Korea University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Korea Institute of Toxicology; Korea University of Science and Technology
A5100416704,,,Jong Min Kim,University of Cambridge,,,,,0.5,manual review needed,C_manual,2,P0002,,University of Cambridge
A5057869475,,,Young Seoub Park,University of California San Diego,,,,,0.5,manual review needed,C_manual,2,P0002,,University of California San Diego
A5041230683,no,,Andrew Choi,Robotics Research (United States),,,,no,0.92,non-academic current affiliation + weak collaboration signal,C_manual,2,P0001,,Robotics Research (United States)
